Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000105640,RPL18A,33.55851978232277,-0.3523187810842048,0.4776411825717333,42.90935806448129,0.3523187810842048,0.4776411825717333
ENSG00000105641,SLC5A5,0.11732841012795499,0.7323398465338204,0.2723423955283176,0.06899534996298747,-0.7323398465338204,0.2723423955283176
ENSG00000007080,CCDC124,2.6705906423227885,0.016490579440371578,1.0,2.6429052110822147,-0.016490579440371578,1.0
ENSG00000105642,KCNN1,0.010089666718620207,-0.7306321298087255,0.6451236638864929,0.015332299991774993,0.7306321298087255,0.6451236638864929
ENSG00000105643,ARRDC2,0.7408698133386838,-0.4304242315449538,0.34614583519902353,0.9985160369643464,0.4304242315449538,0.34614583519902353
ENSG00000096996,IL12RB1,0.08100560994092224,-1.6463632129111212,5.307763072471843e-07,0.2529829498642874,1.6463632129111212,5.307763072471843e-07
ENSG00000099308,MAST3,0.3542914399195496,-0.8627943107639817,0.012111831350432808,0.6439565996545498,0.8627943107639817,0.012111831350432808
ENSG00000269145,AC007192.2,0.00028827619196057733,-2.7306321298087237,0.586605705551945,0.001916537498971874,2.7306321298087237,0.586605705551945
ENSG00000105647,PIK3R2,1.0078135670941784,0.27639836015290037,0.7585889864530819,0.8317772745537934,-0.27639836015290037,0.7585889864530819
ENSG00000216490,IFI30,4.83295035821908,-0.4913908607309776,0.2535980027576529,6.803708121350153,0.4913908607309776,0.2535980027577334
ENSG00000254858,MPV17L2,0.2977893062952764,-0.011232408385417614,1.0,0.29897984983961234,0.011232408385417614,1.0
ENSG00000105649,RAB3A,0.1386608483330377,0.13786308706278305,1.0,0.12457493743317181,-0.13786308706278305,1.0
ENSG00000268650,AC005759.1,0.006630352415093279,0.8543303709124315,0.7313487369787092,0.001916537498971874,-0.8543303709124315,0.7313487369787092
ENSG00000105650,PDE4C,0.008360009566856744,1.176258465799794,0.5299132932133532,0.001916537498971874,-1.176258465799794,0.5299132932133532
ENSG00000284797,AC008397.1,0.00028827619196057733,-1.7306321298087237,1.0,0.0,1.7306321298087237,1.0
ENSG00000130518,IQCN,0.17527192471203104,0.16211428347952328,0.9802135971363825,0.1552395374167218,-0.16211428347952328,0.9802135971363825
ENSG00000130522,JUND,7.493451333823248,0.3956708987219266,0.4994064618232343,5.703615596940297,-0.3956708987219266,0.499406461823121
ENSG00000130520,LSM4,3.508609532352187,0.25568398798471437,0.7392324403137029,2.9418850609218268,-0.25568398798471437,0.7392324403137029
ENSG00000130517,PGPEP1,0.3871549258030554,-0.07978169343111197,0.973009607255497,0.4082224872810092,0.07978169343111197,0.973009607255497
ENSG00000130513,GDF15,2.8697894909675474,0.6772742726569337,0.14799913696847833,1.795795636536646,-0.6772742726569337,0.147999136968533
ENSG00000175489,LRRC25,0.12395876254304826,-1.586418384469238,8.178542998085767e-07,0.37180827480054357,1.586418384469238,8.178542998085767e-07
ENSG00000130511,SSBP4,1.8634173048331721,-0.25210656512604324,0.682643904168428,2.221266961308402,0.25210656512604324,0.6826439041682804
ENSG00000105655,ISYNA1,0.8423430329088071,-0.2480651522496142,0.6561515016492585,1.0004325744633182,0.2480651522496142,0.6561515016492585
ENSG00000268199,AC010335.1,0.00028827619196057733,-1.7306321298087237,1.0,0.0,1.7306321298087237,1.0
ENSG00000105656,ELL,0.3917673448744246,-0.34914719024090823,0.5055657275996214,0.49829974973268726,0.34914719024090823,0.5055657275996214
ENSG00000105701,FKBP8,1.9778629530415213,-0.531183152040308,0.20462328294725543,2.861390485965008,0.531183152040308,0.20462328294722748
ENSG00000105700,KXD1,1.1839503203820911,-0.10362219387908211,0.9178991212774957,1.2725808993173244,0.10362219387908211,0.9178991212774957
ENSG00000268030,AC005253.1,0.000864828575881732,-0.7306321298087237,1.0,0.0,0.7306321298087237,1.0
ENSG00000268983,AC005253.2,0.0011531047678423093,-0.408704034921362,1.0,0.0,0.408704034921362,1.0
ENSG00000221983,UBA52,20.97007503178828,-0.1426916834302725,0.8810015838310243,23.186270662561732,0.1426916834302725,0.8810015838310243
ENSG00000006016,CRLF1,0.0432414287940866,0.3378476080740418,0.8286188905298923,0.03258113748252186,-0.3378476080740418,0.8286188905298923
ENSG00000006015,REX1BD,2.7533259094154743,-0.13292649855737904,0.9044616475110594,3.0223796358786457,0.13292649855737904,0.9044616475110594
ENSG00000105696,TMEM59L,0.008936561950777898,-0.9005571312510376,0.5321441924957212,0.015332299991774993,0.9005571312510376,0.5321441924957212
ENSG00000167487,KLHL26,0.2150540392025907,0.24447669464956379,0.8489052210331456,0.18015452490335618,-0.24447669464956379,0.8489052210331456
ENSG00000105662,CRTC1,0.5160143836094335,-0.08898943449845176,0.9477112217927558,0.548129724705956,0.08898943449845176,0.9477112217927558
ENSG00000105664,COMP,2.1038396489282936,-1.0010924540406971,0.0012021999597193447,4.216382497738123,1.0010924540406971,0.0012021999597193298
ENSG00000005007,UPF1,2.06694029635734,0.13334655810401308,0.953516603288681,1.8858728989883242,-0.13334655810401308,0.953516603288681
ENSG00000223802,CERS1,0.15941673415419927,0.2745855794622938,0.8191252101989346,0.13032454993008744,-0.2745855794622938,0.8191252101989346
ENSG00000105669,COPE,6.398866632948936,-0.06191469361782431,1.0,6.688715871411841,0.06191469361782431,1.0
ENSG00000105671,DDX49,1.4938472267397118,-0.06878009306503463,0.9738455801899663,1.5677276741589932,0.06878009306503463,0.9738455801899663
ENSG00000051128,HOMER3,0.8769361759440764,-0.4354779165683672,0.332960037283524,1.1863367118635901,0.4354779165683672,0.332960037283524
ENSG00000269019,HOMER3-AS1,0.004612419071369237,-0.965097383445749,0.716880923155388,0.007666149995887496,0.965097383445749,0.716880923155388
ENSG00000064607,SUGP2,1.561303855658487,0.31289668533999765,0.695352309669588,1.2572485993255496,-0.31289668533999765,0.695352309669588
ENSG00000105676,ARMC6,0.6304600318177827,-0.09875948028734904,0.9269398532697096,0.6746211996380997,0.09875948028734904,0.9269398532697096
ENSG00000181035,SLC25A42,0.132318772109905,-0.5144986989439597,0.3226175397741386,0.18782067489924367,0.5144986989439597,0.3226175397741386
ENSG00000064545,TMEM161A,0.9181596713944389,-0.08178626505558131,0.9535121362974767,0.9716845119787402,0.08178626505558131,0.9535121362974767
ENSG00000213999,MEF2B,0.27184444901882443,-0.5274691799523301,0.2464238642852643,0.39097364979026233,0.5274691799523301,0.2464238642852643
ENSG00000254901,BORCS8,0.6313248603936644,0.07212089028987001,1.0,0.5998762371781966,-0.07212089028987001,1.0
ENSG00000064490,RFXANK,1.6590294847331226,-0.12089521374352385,0.9209065943575124,1.8053783240315056,0.12089521374352385,0.9209065943575124
ENSG00000184162,NR2C2AP,0.812362308944907,0.34231834741656164,0.6504400132546038,0.6401235246566059,-0.34231834741656164,0.6504400132546038
ENSG00000130287,NCAN,0.00028827619196057733,-1.7306321298087237,1.0,0.0,1.7306321298087237,1.0
