Ligand,Receptor,LRscore,ligand_mean_expr,receptor_mean_expr,ligand_pct_expr,receptor_pct_expr
TIMP3__Stroma,IL6ST__Malignant,3.247754017863498,1.0308663439741617,3.150509313693242,16.824644549763033,67.29857819905213
COPA__Malignant,CD81__Stroma,3.2413775582662816,2.4864563801269832,1.3036132803989686,63.69141653501843,19.40494997367035
ARF1__Malignant,FLOT1__Stroma,3.217995949243903,3.5413291858431024,0.908697209541614,68.06213796735123,16.903633491311215
THBS1__Stroma,CD63__Malignant,3.2149640830213677,0.9685631156406587,3.31931294007084,16.53501843075303,68.48341232227489
HLA-A__Malignant,APLP2__Stroma,3.2144929012233003,4.3032454350933795,0.7469926941672446,69.08899420747761,14.323328067403896
COPA__Malignant,CD74__Stroma,3.2114610563587953,2.4864563801269832,1.2915814980815332,63.69141653501843,20.221169036334913
HSPA1A__Malignant,FLOT1__Stroma,3.2070611160590063,3.529295657985773,0.908697209541614,67.7461822011585,16.903633491311215
LGALS3BP__Malignant,ITGB1__Stroma,3.2044579048291424,3.484602378237509,0.9196050386816123,68.72037914691943,15.876777251184834
LGALS3BP__Malignant,FLOT1__Stroma,3.1664484574664966,3.484602378237509,0.908697209541614,68.72037914691943,16.903633491311215
FN1__Stroma,ITGB5__Malignant,3.1552396230669415,1.4325379738808335,2.2025521700616446,19.641916798314902,63.3754607688257
TIMP3__Stroma,ENO1__Malignant,3.149560883584825,1.0308663439741617,3.0552562919483264,16.824644549763033,67.14060031595577
CD9__Malignant,FLOT1__Stroma,3.1414590527738313,3.4571021235539154,0.908697209541614,67.6408636124276,16.903633491311215
TIMP3__Stroma,ERBB2__Malignant,3.1312462759313453,1.0308663439741617,3.0374900628338186,16.824644549763033,66.58767772511848
CXCL14__Malignant,IL6ST__Stroma,3.1191451542871067,2.849692624184015,1.0945549452654555,66.45602948920485,17.9304897314376
B2M__Malignant,CAP1__Stroma,3.118488991388019,4.6627616364755315,0.6688072937275878,69.06266456029489,13.217482885729332
GNAS__Malignant,ITGB5__Stroma,3.117758491749809,3.67030013569406,0.8494560053629607,68.27277514481305,15.11321748288573
TIMP3__Stroma,CD151__Malignant,3.11758829303634,1.0308663439741617,3.02424102916923,16.824644549763033,67.19325961032122
B2M__Malignant,LAMP2__Stroma,3.092995587571248,4.6627616364755315,0.6633398463639175,69.06266456029489,12.76987888362296
MIF__Malignant,CAP1__Stroma,3.0536065792406424,4.565749518402244,0.6688072937275878,69.06266456029489,13.217482885729332
THBS1__Stroma,IL6ST__Malignant,3.05146711672564,0.9685631156406587,3.150509313693242,16.53501843075303,67.29857819905213
EFNA1__Malignant,FLOT1__Stroma,3.0359290094686666,3.340968782109631,0.908697209541614,67.16692996313849,16.903633491311215
MIF__Malignant,LAMP2__Stroma,3.028643584073075,4.565749518402244,0.6633398463639175,69.06266456029489,12.76987888362296
AZGP1__Malignant,FLOT1__Stroma,3.0210290926394587,3.324571772552703,0.908697209541614,67.53554502369668,16.903633491311215
ARF1__Malignant,ITGB5__Stroma,3.0082033438815476,3.5413291858431024,0.8494560053629607,68.06213796735123,15.11321748288573
HSPA1A__Malignant,ITGB5__Stroma,2.9979813913774365,3.529295657985773,0.8494560053629607,67.7461822011585,15.11321748288573
COMP__Stroma,BAMBI__Malignant,2.985250090877588,0.8062875301300323,3.702463425666707,13.717746182201159,67.93048973143759
