pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score
F10__Bcell|ITGB4__Stroma,F10,ITGB4,Bcell,Stroma,20,768,2.3161306e-06
JAM2__Tcell|SDC1__Bcell,JAM2,SDC1,Tcell,Bcell,9,20,2.3151886e-06
CD40LG__Tcell|ITGAL__Stroma,CD40LG,ITGAL,Tcell,Stroma,9,768,2.3137927e-06
LAMA2__Bcell|CLEC2D__Endothelial,LAMA2,CLEC2D,Bcell,Endothelial,20,62,2.3116302e-06
ANGPT2__Endothelial|TGFBR1__Bcell,ANGPT2,TGFBR1,Endothelial,Bcell,62,20,2.3111577e-06
ANGPT2__Bcell|CADM1__Stroma,ANGPT2,CADM1,Bcell,Stroma,20,768,2.3105924e-06
ANGPTL1__Bcell|ITGAV__Macrophage,ANGPTL1,ITGAV,Bcell,Macrophage,20,315,2.3104303e-06
TF__Tcell|CD163__Macrophage,TF,CD163,Tcell,Macrophage,9,315,2.3092273e-06
LAMA1__Bcell|ROR2__Stroma,LAMA1,ROR2,Bcell,Stroma,20,768,2.3086152e-06
IL16__Tcell|EFNB1__Bcell,IL16,EFNB1,Tcell,Bcell,9,20,2.3084629e-06
ICAM3__Endothelial|ENG__Bcell,ICAM3,ENG,Endothelial,Bcell,62,20,2.3073226e-06
CD96__Tcell|CADM1__Bcell,CD96,CADM1,Tcell,Bcell,9,20,2.306593e-06
TNFSF15__Tcell|PLXNB1__Stroma,TNFSF15,PLXNB1,Tcell,Stroma,9,768,2.3049738e-06
F10__Bcell|NRP1__Macrophage,F10,NRP1,Bcell,Macrophage,20,315,2.3032994e-06
F13A1__Bcell|CLEC2D__Endothelial,F13A1,CLEC2D,Bcell,Endothelial,20,62,2.3018772e-06
HP__Bcell|CD63__Macrophage,HP,CD63,Bcell,Macrophage,20,315,2.3010266e-06
FREM1__Tcell|ITGB1__Macrophage,FREM1,ITGB1,Tcell,Macrophage,9,315,2.2999725e-06
HGF__Tcell|NOTCH2__Stroma,HGF,NOTCH2,Tcell,Stroma,9,768,2.2998179e-06
KLRB1__Macrophage|CD4__Bcell,KLRB1,CD4,Macrophage,Bcell,315,20,2.2977883e-06
LAMA2__Tcell|ITGA1__Stroma,LAMA2,ITGA1,Tcell,Stroma,9,768,2.2974189e-06
ANGPT1__Bcell|ITGAV__Macrophage,ANGPT1,ITGAV,Bcell,Macrophage,20,315,2.293865e-06
ADAM12__Tcell|TNFRSF25__Macrophage,ADAM12,TNFRSF25,Tcell,Macrophage,9,315,2.2936315e-06
CCL13__Bcell|SIGLEC1__Stroma,CCL13,SIGLEC1,Bcell,Stroma,20,768,2.2909849e-06
CFH__Tcell|CLEC2D__Endothelial,CFH,CLEC2D,Tcell,Endothelial,9,62,2.290131e-06
SEMA6D__Endothelial|SDC1__Bcell,SEMA6D,SDC1,Endothelial,Bcell,62,20,2.290066e-06
VEGFC__Tcell|SDC4__Macrophage,VEGFC,SDC4,Tcell,Macrophage,9,315,2.2899176e-06
