combo
SEMA5A__Malignant|PLXNA1__Stroma
SEMA5A__Malignant|PLXNA3__Stroma
SERTAD1__Malignant|AR__Stroma
SFRP1__Malignant|FZD2__Stroma
SIRPG__Malignant|CD47__Stroma
SORBS1__Malignant|ITGB5__Stroma
SORBS1__Malignant|ITGA1__Stroma
SPN__Malignant|SIGLEC1__Stroma
TFF3__Malignant|CXCR4__Stroma
TGFA__Malignant|ERBB3__Stroma
TGM2__Malignant|ITGB1__Stroma
TGM2__Malignant|SDC4__Stroma
THBS3__Malignant|ITGB1__Stroma
THBS3__Malignant|SDC4__Stroma
THBS3__Malignant|ITGAV__Stroma
THBS3__Malignant|SDC1__Stroma
THBS3__Malignant|CD47__Stroma
TNFSF15__Malignant|TNFRSF6B__Stroma
UBA52__Malignant|NOTCH1__Stroma
VEGFA__Malignant|ITGB1__Stroma
VEGFA__Malignant|ITGAV__Stroma
VEGFA__Malignant|NRP1__Stroma
VEGFA__Malignant|SIRPA__Stroma
VEGFA__Malignant|NRP2__Stroma
WNT3__Malignant|LRP5__Stroma
WNT3__Malignant|FZD1__Stroma
WNT3__Malignant|FZD2__Stroma
WNT5A__Malignant|LRP5__Stroma
WNT5A__Malignant|ROR2__Stroma
WNT5A__Malignant|FZD1__Stroma
WNT5A__Malignant|FZD2__Stroma
WNT7B__Malignant|LRP5__Stroma
WNT7B__Malignant|FZD1__Stroma
WNT7B__Malignant|FZD2__Stroma
YBX1__Malignant|NOTCH1__Stroma
ZG16B__Malignant|CXCR4__Stroma
ADAM12__Tcell|ITGB1__Bcell
ADAM12__Tcell|SDC4__Bcell
ANGPT2__Tcell|ITGB1__Bcell
BMP2__Tcell|BMPR1A__Bcell
BMP2__Tcell|ENG__Bcell
CD226__Tcell|PVR__Bcell
CD40LG__Tcell|ITGB1__Bcell
CD40LG__Tcell|ITGAM__Bcell
CD40LG__Tcell|ITGB2__Bcell
CD40LG__Tcell|CD40__Bcell
CD40LG__Tcell|TRAF3__Bcell
CD96__Tcell|PVR__Bcell
CFH__Tcell|ITGAM__Bcell
COL4A3__Tcell|ITGB1__Bcell
COL4A3__Tcell|SDC4__Bcell
COL4A3__Tcell|SDC1__Bcell
COL4A3__Tcell|CD44__Bcell
COL9A3__Tcell|ITGB1__Bcell
COL9A3__Tcell|SDC4__Bcell
COL9A3__Tcell|SDC1__Bcell
COL9A3__Tcell|CD44__Bcell
CRTAM__Tcell|CADM1__Bcell
DUSP18__Tcell|ITGB1__Bcell
DUSP18__Tcell|ITGA6__Bcell
DUSP18__Tcell|ITGB4__Bcell
EPHA4__Tcell|EFNB1__Bcell
FASLG__Tcell|FAS__Bcell
FCER2__Tcell|ITGAM__Bcell
FCER2__Tcell|ITGB2__Bcell
FREM1__Tcell|ITGB1__Bcell
GZMB__Tcell|IGF2R__Bcell
HBEGF__Tcell|CD44__Bcell
HGF__Tcell|SDC1__Bcell
HGF__Tcell|SDC2__Bcell
HGF__Tcell|CD44__Bcell
HLA-DOB__Tcell|CD4__Bcell
ICAM2__Tcell|ITGAM__Bcell
ICAM2__Tcell|ITGB2__Bcell
ICAM2__Tcell|ITGAL__Bcell
IL16__Tcell|CD4__Bcell
JAM2__Tcell|ITGB1__Bcell
JAM2__Tcell|F11R__Bcell
LAMA2__Tcell|ITGB1__Bcell
LAMA2__Tcell|ITGA6__Bcell
LAMA2__Tcell|CD44__Bcell
LAMA2__Tcell|ITGB4__Bcell
LPL__Tcell|SDC1__Bcell
LPL__Tcell|CD44__Bcell
LTA__Tcell|LTBR__Bcell
LTB__Tcell|CD40__Bcell
LTB__Tcell|LTBR__Bcell
PTPRC__Tcell|MRC1__Bcell
SELPLG__Tcell|ITGAM__Bcell
SELPLG__Tcell|ITGB2__Bcell
SEMA7A__Tcell|ITGB1__Bcell
SLIT2__Tcell|SDC1__Bcell
SLIT2__Tcell|ROBO1__Bcell
TF__Tcell|TFRC__Bcell
TGFB1__Tcell|SDC2__Bcell
TGFB1__Tcell|ACVRL1__Bcell
TGFB1__Tcell|ENG__Bcell
TGFB1__Tcell|TGFBR1__Bcell
TGFB1__Tcell|TGFBR2__Bcell
TGFB1__Tcell|ACVR1B__Bcell
TIGIT__Tcell|PVR__Bcell
TNF__Tcell|LTBR__Bcell
TNFSF14__Tcell|LTBR__Bcell
TNFSF15__Tcell|TNFRSF25__Bcell
VCAM1__Tcell|ITGB1__Bcell
VCAM1__Tcell|ITGB7__Bcell
VCAM1__Tcell|ITGB2__Bcell
VEGFC__Tcell|ITGB1__Bcell
WNT5A__Tcell|ROR2__Bcell
