ligand,receptor,combo,mean_score,median_score,max_score,sum_score,sd_score,ligand_mean_expr,receptor_mean_expr
VIM__Macrophage,CD9__Malignant,VIM__Macrophage|CD9__Malignant,8.164429984212365,0,475.85555355579527,31008.505080038565,33.772546728978746,1.1216877024819218,10.56470171391948
LGALS3BP__Malignant,CD63__Macrophage,LGALS3BP__Malignant|CD63__Macrophage,8.112763860634795,3.515083692495205,104.069243684871,30812.27714269095,11.34147946980746,12.223174829218673,0.8955163413277767
AZGP1__Malignant,CD81__Stroma,AZGP1__Malignant|CD81__Stroma,8.108201155548032,5.554671772388759,78.70076118594174,30794.947988771426,9.708062909059203,8.49610378010731,1.4535856479969007
TFF3__Malignant,CD74__Bcell,TFF3__Malignant|CD74__Bcell,8.079363913399572,4.876152326681739,116.88479260327495,30685.42414309157,12.118051380560146,28.32932165010647,0.4955562412609844
ARF1__Malignant,CD81__Macrophage,ARF1__Malignant|CD81__Macrophage,8.0517305252149,6.271308244959284,57.28174961467864,30580.472534766188,8.377010541983074,11.327927432811919,1.0129718986130358
B2M__Malignant,LAMP2__Stroma,B2M__Malignant|LAMP2__Stroma,8.030270828029266,6.084865045253377,127.53559037357772,30498.968604855156,9.136747477826185,53.28807480900779,0.23515339048855716
HLA-DRA__Macrophage,PRLR__Malignant,HLA-DRA__Macrophage|PRLR__Malignant,7.999429319001394,0,307.41593280065155,30381.832553567296,30.367438276792768,3.765344818249655,2.901777278060352
TNFSF10__Malignant,CD74__Stroma,TNFSF10__Malignant|CD74__Stroma,7.862963218056866,3.0342388916562246,268.8280395476889,29863.534302179974,15.360003116527313,8.5561459417062,1.3465733596013119
TFF3__Malignant,ITGB2__Macrophage,TFF3__Malignant|ITGB2__Macrophage,7.813826987689527,4.2305115908962865,118.92930492632416,29676.914899244824,12.093037887401488,28.32932165010647,0.37840045546879175
HLA-DMA__Macrophage,CD74__Malignant,HLA-DMA__Macrophage|CD74__Malignant,7.734914228368508,0,294.28034393771804,29377.204239343595,31.215042555412335,0.387134418163459,27.971675213352512
PSAP__Macrophage,ATP6AP2__Malignant,PSAP__Macrophage|ATP6AP2__Malignant,7.719819702473659,0,399.4921079499107,29319.875229994956,30.934947068752695,4.120553171189394,2.682816042654765
