Sender,Receiver,Ligand,Receptor,LRscore,all
Malignant,Macrophage,B2M,FLOT1,25.07824997927133,Malignant_B2M_Macrophage_FLOT1
Malignant,Stroma,B2M,FLOT1,24.17939869466877,Malignant_B2M_Stroma_FLOT1
Macrophage,Malignant,LYZ,ITGB5,14.358773280583774,Macrophage_LYZ_Malignant_ITGB5
Macrophage,Stroma,LYZ,ITGB5,14.357264408608625,Macrophage_LYZ_Stroma_ITGB5
Malignant,Macrophage,HLA-C,FLOT1,20.847173710987274,Malignant_HLA-C_Macrophage_FLOT1
Malignant,Stroma,HLA-C,FLOT1,20.01788027547189,Malignant_HLA-C_Stroma_FLOT1
Macrophage,Malignant,GRN,PLXNB2,16.989155452381063,Macrophage_GRN_Malignant_PLXNB2
Malignant,Macrophage,HLA-B,FLOT1,23.71959037400535,Malignant_HLA-B_Macrophage_FLOT1
Malignant,Stroma,HLA-B,FLOT1,22.54302639842895,Malignant_HLA-B_Stroma_FLOT1
Macrophage,Malignant,GRN,FLOT1,17.31846232564176,Macrophage_GRN_Malignant_FLOT1
Macrophage,Stroma,GRN,FLOT1,16.466563688733583,Macrophage_GRN_Stroma_FLOT1
Malignant,Bcell,AZGP1,CD74,21.989302993078667,Malignant_AZGP1_Bcell_CD74
Malignant,Macrophage,AZGP1,CD74,25.280846261863022,Malignant_AZGP1_Macrophage_CD74
Malignant,Stroma,AZGP1,CD74,25.754363049558563,Malignant_AZGP1_Stroma_CD74
Macrophage,Malignant,HLA-DRA,ERBB2,21.6671389136905,Macrophage_HLA-DRA_Malignant_ERBB2
Malignant,Macrophage,UBA52,FLOT1,18.96040562372049,Malignant_UBA52_Macrophage_FLOT1
Malignant,Stroma,UBA52,FLOT1,19.09618632901866,Malignant_UBA52_Stroma_FLOT1
Macrophage,Malignant,ANXA2,FLOT1,13.634126355893343,Macrophage_ANXA2_Malignant_FLOT1
Macrophage,Stroma,ANXA2,FLOT1,13.576281020798708,Macrophage_ANXA2_Stroma_FLOT1
Macrophage,Malignant,C1QA,ITGB5,13.014779025713061,Macrophage_C1QA_Malignant_ITGB5
