Sender,Receiver,Ligand,Receptor,LRscore
Malignant,Stroma,COL9A3,SDC1,0
Malignant,Stroma,COL9A3,ITGA11,0
Malignant,Stroma,CTSG,F2RL2,0
Malignant,Stroma,CXCL14,CXCR4,0.06534736436122526
Malignant,Stroma,DAG1,LAMA4,0.03045904396944841
Malignant,Stroma,ECM1,ITGB4,0
Malignant,Stroma,EDN1,EDNRA,3.2702023652673973e-4
Malignant,Stroma,F11R,ITGB2,0.06585078307368449
Malignant,Stroma,F11R,ITGAL,0
Malignant,Stroma,FARP2,PLXNA1,0.0058024427295536
Malignant,Stroma,FARP2,PLXNA3,0.005286151952641395
Malignant,Stroma,GDF11,ACVR2A,0
Malignant,Stroma,GPC3,CD81,0.06742829880564144
Malignant,Stroma,GPI,AMFR,0
Malignant,Stroma,HLA-A,APLP2,0
Malignant,Stroma,HMGB1,SDC1,0
Malignant,Stroma,ICAM3,ITGB2,0.018669473542081847
Malignant,Stroma,ICAM3,ITGAL,0
Malignant,Stroma,JAG2,NOTCH1,0
Malignant,Stroma,JAG2,NOTCH2,0.01596202685284485
Malignant,Stroma,JAG2,NOTCH3,0.027400986126645155
Malignant,Stroma,JAM3,ITGB2,0.01314138455264931
Malignant,Stroma,LAMA3,ITGB1,0.007796981530903343
Malignant,Stroma,LAMA3,ITGAV,0.003766702564895623
Malignant,Stroma,LAMA3,ITGA1,6.763319997192618e-4
Malignant,Stroma,LAMA3,ITGB4,0.002113150079593605
Malignant,Stroma,LAMA5,ITGB1,0.10575896889564673
Malignant,Stroma,LAMA5,ITGAV,0.054051057105112876
Malignant,Stroma,LAMA5,ITGA1,0
Malignant,Stroma,LAMA5,SDC1,0
Malignant,Stroma,LAMA5,ITGB4,0.03106117600494842
Malignant,Stroma,LAMB2,ITGB1,0
Malignant,Stroma,LAMB2,ITGAV,0.08285265281299019
Malignant,Stroma,LAMB2,ITGA1,0
Malignant,Stroma,LAMB2,ITGB4,0
Malignant,Stroma,LAMB3,ITGB1,0
Malignant,Stroma,LAMB3,ITGAV,0
Malignant,Stroma,LAMB3,ITGA1,0
Malignant,Stroma,LAMB3,CD151,0
Malignant,Stroma,LAMB3,ITGB4,0
Malignant,Stroma,LGALS3BP,ITGB1,0
Malignant,Stroma,LGALS3BP,VANGL1,0
Malignant,Stroma,LRPAP1,SORT1,0
Malignant,Stroma,LTA,EDNRA,0
Malignant,Stroma,LTBP3,ITGB5,0
Malignant,Stroma,MDK,ITGB1,0
Malignant,Stroma,MDK,SDC4,0
Malignant,Stroma,MDK,SDC3,0
Malignant,Stroma,MDK,SDC1,0
Malignant,Stroma,MDK,NOTCH2,0
Malignant,Stroma,MIF,CD74,0.4966827278784676
Malignant,Stroma,MIF,CXCR4,0.12642371671180486
Malignant,Stroma,MMP7,CD151,0
Malignant,Stroma,NAMPT,ITGB1,0
Malignant,Stroma,NAMPT,ITGA5,0.01991566975441375
Malignant,Stroma,NPNT,ITGB1,0.06689248021364474
Malignant,Stroma,PDGFB,ITGAV,0.01019727658904892
Malignant,Stroma,PDGFB,S1PR1,6.637552998323302e-4
Malignant,Stroma,PIP,NPTN,0.014311012760338691
Malignant,Stroma,PLAT,ITGB2,0.014803143122891903
Malignant,Stroma,PSEN1,NOTCH1,0
Malignant,Stroma,PSEN1,NCSTN,0
Malignant,Stroma,PSEN1,NOTCH2,0.029909261770035184
Malignant,Stroma,PSEN1,NOTCH3,0.05078956308618854
Malignant,Stroma,PTDSS1,SCARB1,0
Malignant,Stroma,PTN,SDC4,0
Malignant,Stroma,PTN,ITGAV,0
Malignant,Stroma,PTN,SDC3,0
Malignant,Stroma,PTN,PLXNB2,0
Malignant,Stroma,PTN,SDC1,0
Malignant,Stroma,PTPRK,PTPRK,0
Malignant,Stroma,ROBO1,ROBO1,0
Malignant,Stroma,RTN4,S1PR2,0
Malignant,Stroma,SEMA3C,NRP1,0.015282153664605683
Malignant,Stroma,SEMA3C,PLXNA1,0.02180468781813695
Malignant,Stroma,SEMA3C,PLXNA3,0
Malignant,Stroma,SEMA3C,NRP2,0
Malignant,Stroma,SEMA3C,PLXND1,0.04809259991953562
Malignant,Stroma,SEMA3E,NRP1,0
Malignant,Stroma,SEMA3E,PLXND1,0
Malignant,Stroma,SEMA4A,NRP1,0.004453185222495845
Malignant,Stroma,SEMA4A,PLXNB2,0.021454754962281695
Malignant,Stroma,SEMA4A,PLXNA1,0.006386008815316899
Malignant,Stroma,SEMA4A,PLXNA3,0
Malignant,Stroma,SEMA4A,PLXND1,0.014378454964430102
Malignant,Stroma,SEMA4A,PLXNB1,0
Malignant,Stroma,SEMA4C,PLXNB2,0.03653404498991425
Malignant,Stroma,SEMA5A,PLXNA1,0.00173887937741725
